,gender,race_ethnicity,parental_level_of_education,lunch,test_preparation_course,math_score,reading_score,writing_score
58,male,group D,high school,standard,none,72,66,66
59,female,group B,associate's degree,standard,none,71,83,78
60,male,group A,some high school,free/reduced,none,55,46,43
61,female,group C,some college,standard,none,84,87,91
62,female,group E,some college,standard,completed,63,72,70
63,female,group C,bachelor's degree,standard,none,63,75,81
64,female,group C,some college,free/reduced,completed,42,66,69
65,male,group E,associate's degree,free/reduced,completed,78,74,72
66,male,group E,some college,standard,none,69,60,54
67,female,group B,associate's degree,standard,none,80,86,83
68,male,group B,high school,standard,none,79,60,65
69,male,group C,associate's degree,standard,completed,87,100,95
70,female,group A,associate's degree,free/reduced,none,65,85,76
71,female,group D,some high school,standard,none,51,63,61
72,male,group D,master's degree,standard,none,85,84,89
73,male,group A,some high school,standard,completed,47,49,49
74,male,group C,master's degree,free/reduced,none,54,59,50
75,female,group B,high school,free/reduced,none,38,60,50
76,male,group C,some high school,free/reduced,completed,59,69,65
77,male,group D,high school,free/reduced,none,60,57,51
78,male,group B,high school,free/reduced,none,49,45,45
79,female,group C,associate's degree,standard,completed,52,59,62
80,female,group C,bachelor's degree,free/reduced,none,44,63,62
81,female,group E,associate's degree,free/reduced,none,70,84,81
82,male,group C,associate's degree,standard,none,84,80,80
83,male,group C,associate's degree,standard,none,76,70,68
84,male,group C,some college,free/reduced,none,35,28,27
85,female,group C,associate's degree,standard,completed,96,96,99
86,female,group D,some college,standard,none,80,90,89
87,male,group B,associate's degree,standard,none,81,73,72
88,male,group D,high school,standard,none,57,50,54
89,male,group E,high school,standard,none,94,73,71
90,male,group B,high school,standard,none,82,82,80
91,male,group D,high school,standard,none,70,70,70
92,female,group B,associate's degree,standard,completed,94,87,92
93,male,group A,bachelor's degree,standard,completed,75,58,62
94,female,group C,some college,standard,none,52,58,58
95,female,group A,high school,free/reduced,completed,77,88,85
96,male,group D,some college,free/reduced,none,70,63,58
97,male,group A,some high school,free/reduced,none,65,59,53
98,male,group B,some college,free/reduced,none,40,43,39
99,female,group C,some college,standard,completed,70,89,88
100,male,group D,associate's degree,free/reduced,completed,79,82,80
101,female,group C,some college,standard,completed,67,81,79
102,male,group C,some college,free/reduced,none,68,68,61
103,female,group D,master's degree,free/reduced,completed,47,58,67
104,female,group A,some college,standard,completed,72,79,82
105,female,group E,high school,free/reduced,completed,57,75,73
106,female,group C,bachelor's degree,standard,none,83,93,95
107,male,group A,some college,standard,completed,61,51,52
108,male,group C,associate's degree,standard,completed,98,87,90
109,female,group D,master's degree,free/reduced,completed,61,71,78
110,female,group C,bachelor's degree,standard,completed,92,100,99
111,female,group C,associate's degree,standard,completed,68,67,73
112,female,group E,some high school,standard,none,77,79,80
113,male,group C,some college,standard,none,66,59,52
114,male,group B,high school,standard,none,47,46,42
115,male,group C,some college,free/reduced,none,65,58,49
116,male,group A,some high school,free/reduced,none,68,72,64
117,female,group C,some college,standard,completed,63,78,80
118,female,group D,high school,free/reduced,none,73,92,84
119,female,group C,high school,free/reduced,none,42,62,60
120,female,group E,master's degree,standard,none,62,68,68
121,female,group D,bachelor's degree,standard,completed,68,75,81
122,female,group C,associate's degree,standard,completed,67,84,81
123,male,group D,some college,free/reduced,none,49,57,46
124,female,group C,some college,free/reduced,none,35,44,43
125,male,group A,high school,standard,none,68,70,66
126,female,group B,high school,standard,completed,69,76,74
127,male,group C,high school,standard,none,70,74,71
128,female,group E,some high school,standard,completed,80,85,85
129,female,group C,some college,standard,completed,75,81,84
130,female,group D,some college,standard,none,63,64,67
131,male,group B,bachelor's degree,standard,none,66,60,57
132,female,group B,some high school,free/reduced,completed,74,90,88
133,female,group C,some high school,standard,completed,44,51,55
134,female,group B,bachelor's degree,standard,none,72,72,74
135,female,group D,master's degree,standard,completed,77,82,91
136,male,group D,high school,standard,none,46,34,36
137,male,group C,high school,standard,completed,72,67,64
138,male,group B,associate's degree,standard,completed,82,84,78
139,male,group E,associate's degree,standard,completed,62,61,58
140,male,group D,associate's degree,standard,none,80,68,72
141,female,group C,high school,standard,none,54,59,62
142,female,group D,some college,standard,none,79,86,81
143,female,group B,high school,standard,none,87,95,86
144,female,group C,some high school,standard,completed,65,74,77
145,female,group C,associate's degree,free/reduced,completed,82,93,93
146,female,group B,associate's degree,standard,none,40,48,50
147,female,group D,bachelor's degree,free/reduced,completed,93,100,100
148,female,group C,bachelor's degree,standard,none,65,72,74
149,male,group D,some high school,standard,completed,77,68,69
150,female,group C,some college,free/reduced,none,46,64,66
151,male,group B,some college,standard,completed,88,85,76
152,female,group E,some high school,free/reduced,none,32,34,38
153,female,group C,associate's degree,standard,none,39,64,57
154,male,group D,some high school,standard,none,86,73,70
155,male,group C,some high school,free/reduced,completed,53,37,40
156,male,group A,some college,free/reduced,completed,81,78,81
157,male,group B,some college,free/reduced,none,41,39,34
158,male,group C,some college,standard,none,61,61,62
159,male,group D,some college,standard,none,88,73,78
160,female,group A,some high school,standard,completed,59,85,80
161,female,group D,some high school,standard,none,81,97,96
162,male,group C,bachelor's degree,standard,none,58,55,48
163,female,group C,some college,free/reduced,completed,64,85,85
164,female,group E,master's degree,standard,none,81,92,91
165,male,group C,high school,standard,none,70,70,65
166,female,group C,bachelor's degree,free/reduced,none,62,78,79
167,male,group D,some college,standard,completed,77,62,62
168,female,group D,high school,standard,none,62,64,64
169,female,group E,some college,standard,none,87,85,93
170,female,group C,some college,free/reduced,completed,67,75,70
171,male,group A,bachelor's degree,free/reduced,none,62,72,65
172,female,group D,some high school,standard,none,76,72,71
173,female,group C,associate's degree,standard,none,63,67,70
174,female,group B,some college,standard,completed,88,95,92
175,male,group D,associate's degree,standard,none,72,79,74
176,female,group D,master's degree,standard,none,55,64,70
177,male,group C,some high school,free/reduced,none,61,57,56
178,male,group D,bachelor's degree,free/reduced,none,50,42,48
179,male,group E,some high school,standard,completed,87,84,76
180,male,group B,some college,standard,none,54,52,51
181,female,group C,some college,free/reduced,none,22,39,33
182,male,group D,high school,free/reduced,none,66,74,69
183,male,group C,bachelor's degree,standard,completed,83,82,84
184,female,group D,high school,standard,completed,56,68,74
185,female,group B,associate's degree,free/reduced,none,54,65,65
186,female,group D,master's degree,standard,none,74,79,82
187,male,group E,some college,free/reduced,completed,87,74,70
188,male,group E,high school,free/reduced,completed,86,81,75
189,male,group B,some college,standard,none,66,65,60
190,male,group C,associate's degree,free/reduced,completed,65,67,65
191,female,group C,associate's degree,standard,none,58,73,68
192,female,group C,associate's degree,standard,completed,75,82,90
193,female,group B,associate's degree,free/reduced,none,52,76,70
194,female,group C,some college,standard,none,54,64,65
195,female,group E,associate's degree,standard,completed,82,85,86
196,female,group C,some high school,standard,none,63,73,68
197,female,group A,some high school,free/reduced,none,59,73,69
198,male,group E,bachelor's degree,free/reduced,completed,70,68,72
199,female,group C,high school,free/reduced,completed,59,71,65
200,male,group D,bachelor's degree,free/reduced,completed,74,71,80
201,male,group A,high school,free/reduced,completed,72,67,65
202,male,group A,associate's degree,standard,completed,97,92,86
203,female,group C,some high school,standard,none,47,54,53
204,male,group D,master's degree,standard,none,95,81,84
205,female,group C,some high school,standard,none,49,63,56
206,male,group E,associate's degree,free/reduced,none,64,56,52
207,female,group B,some high school,free/reduced,none,24,38,27
208,male,group E,associate's degree,free/reduced,completed,77,69,68
209,male,group B,bachelor's degree,free/reduced,none,55,59,54
210,female,group D,some college,standard,none,74,89,84
211,male,group D,high school,free/reduced,none,69,70,67
212,female,group B,master's degree,standard,none,77,90,84
213,male,group D,high school,standard,none,76,73,68
214,male,group D,bachelor's degree,free/reduced,completed,61,70,76
215,male,group C,some college,standard,completed,93,84,90
216,male,group B,high school,standard,none,62,55,54
217,male,group A,bachelor's degree,standard,none,64,60,58
218,female,group D,some high school,standard,completed,66,78,78
219,male,group C,high school,standard,completed,86,81,80
220,male,group C,master's degree,free/reduced,completed,46,42,46
221,female,group B,associate's degree,free/reduced,completed,76,94,87
222,male,group A,high school,standard,none,59,52,46
223,male,group B,high school,free/reduced,none,63,48,47
224,female,group A,some high school,free/reduced,none,47,59,50
225,male,group C,bachelor's degree,free/reduced,none,61,66,61
226,male,group E,associate's degree,standard,none,72,64,63
227,male,group A,some high school,free/reduced,none,39,39,34
228,male,group E,some college,standard,none,86,76,74
229,female,group D,associate's degree,free/reduced,none,47,53,58
230,male,group B,associate's degree,standard,completed,81,82,82
231,female,group B,high school,standard,none,58,62,59
232,female,group C,some college,standard,none,59,71,70
233,female,group D,bachelor's degree,standard,none,79,89,89
234,female,group C,some high school,free/reduced,none,65,86,80
235,female,group B,high school,standard,none,65,81,73
236,female,group E,high school,standard,none,50,50,47
237,female,group A,some high school,free/reduced,none,44,64,58
238,female,group E,bachelor's degree,standard,completed,71,70,70
239,female,group C,high school,standard,none,60,68,72
240,male,group D,some high school,standard,none,86,80,75
241,female,group C,some college,standard,none,53,62,56
242,female,group D,bachelor's degree,standard,none,89,100,100
243,female,group A,associate's degree,standard,completed,65,70,74
244,male,group E,some high school,free/reduced,completed,78,83,80
245,female,group D,bachelor's degree,free/reduced,none,63,73,78
246,female,group C,high school,standard,none,75,88,85
247,female,group B,high school,free/reduced,completed,46,54,58
248,female,group C,some high school,free/reduced,completed,50,60,60
249,female,group C,associate's degree,standard,completed,65,84,84
250,female,group C,associate's degree,standard,none,65,76,76
251,male,group E,associate's degree,free/reduced,none,90,90,82
252,male,group C,associate's degree,standard,completed,57,54,56
253,male,group C,high school,standard,none,52,53,49
254,female,group B,high school,standard,none,65,64,62
255,male,group D,some high school,standard,none,84,84,80
256,female,group C,associate's degree,standard,completed,62,76,80
257,male,group D,associate's degree,standard,completed,81,72,77
258,male,group E,associate's degree,free/reduced,none,46,43,41
259,male,group D,associate's degree,standard,none,71,66,60
260,male,group C,some high school,standard,none,49,49,41
261,female,group D,some college,standard,none,51,58,54
262,female,group D,high school,standard,none,69,77,73
263,female,group D,some high school,free/reduced,none,48,54,53
264,male,group E,some high school,free/reduced,completed,73,67,59
265,male,group C,some college,standard,completed,98,86,90
266,female,group E,bachelor's degree,standard,completed,99,100,100
267,male,group C,associate's degree,standard,none,74,73,67
268,male,group E,some college,standard,none,68,60,59
269,male,group D,associate's degree,free/reduced,none,53,54,48
270,male,group D,associate's degree,standard,completed,87,84,85
271,male,group C,high school,standard,none,71,79,71
272,male,group C,some college,free/reduced,completed,67,74,70
273,female,group D,some high school,standard,none,73,86,82
274,male,group D,some high school,standard,completed,76,70,69
275,female,group A,some high school,free/reduced,none,44,45,45
276,female,group C,high school,free/reduced,none,35,53,46
277,male,group C,bachelor's degree,free/reduced,completed,70,75,74
278,male,group C,some high school,standard,none,75,72,62
279,female,group E,high school,standard,none,74,76,73
280,female,group C,some college,standard,none,58,59,66
281,female,group B,some college,standard,none,79,86,92
282,male,group D,associate's degree,standard,none,40,52,43
283,female,group B,high school,free/reduced,none,50,67,63
284,female,group E,associate's degree,standard,completed,79,88,94
285,male,group B,some college,free/reduced,completed,59,65,66
286,female,group B,associate's degree,standard,none,53,58,65
287,female,group B,some high school,standard,none,41,55,51
288,female,group B,master's degree,free/reduced,completed,58,76,78
289,female,group D,some college,free/reduced,completed,59,78,76
290,male,group D,some college,standard,none,81,82,84
291,male,group A,some high school,standard,none,53,54,48
292,male,group D,some college,standard,none,55,58,52
293,male,group B,some college,standard,none,79,67,67
294,male,group C,bachelor's degree,standard,none,86,83,86
295,female,group B,master's degree,free/reduced,completed,52,70,62
296,male,group A,some high school,free/reduced,none,79,82,73
297,male,group C,bachelor's degree,standard,completed,71,74,68
298,male,group B,high school,standard,none,59,58,47
299,female,group B,high school,free/reduced,none,64,73,71
300,female,group D,high school,standard,none,67,72,74
301,female,group C,associate's degree,standard,completed,71,77,77
302,male,group A,high school,free/reduced,none,48,45,41
303,female,group A,some college,standard,none,69,84,82
304,male,group E,some high school,standard,completed,89,84,77
305,female,group A,some college,standard,none,56,58,64
306,male,group B,some college,standard,completed,62,66,68
307,female,group E,some high school,free/reduced,none,38,49,45
308,male,group C,some college,standard,none,84,87,81
309,male,group E,some college,standard,none,68,72,65
310,male,group C,associate's degree,standard,completed,78,77,77
311,male,group E,bachelor's degree,standard,completed,85,66,71
312,female,group B,some college,free/reduced,none,61,68,66
313,female,group C,some high school,standard,none,69,75,78
314,female,group C,high school,free/reduced,none,41,46,43
315,female,group D,some college,free/reduced,completed,52,59,65
316,female,group C,some high school,free/reduced,none,55,65,62
317,female,group D,some high school,standard,completed,97,100,100
318,female,group A,some college,standard,completed,78,87,91
319,male,group D,some college,standard,none,44,54,53
320,male,group A,associate's degree,standard,none,63,61,61
321,female,group C,some college,free/reduced,completed,63,73,71
322,female,group E,master's degree,free/reduced,none,81,86,87
323,male,group C,high school,free/reduced,none,58,61,52
324,female,group C,high school,standard,none,61,72,70
325,male,group B,bachelor's degree,free/reduced,completed,87,90,88
326,female,group B,high school,standard,completed,77,82,89
327,female,group B,associate's degree,standard,none,57,69,68
328,male,group D,some college,standard,none,67,64,70
329,male,group C,associate's degree,free/reduced,completed,43,45,50
330,female,group B,associate's degree,free/reduced,none,53,70,70
331,male,group B,associate's degree,free/reduced,none,61,58,56
332,male,group C,high school,free/reduced,completed,58,51,52
333,female,group B,some high school,standard,none,37,46,46
334,female,group D,some high school,free/reduced,completed,40,65,64
335,male,group C,some high school,standard,none,73,66,66
336,male,group D,bachelor's degree,standard,none,54,49,47
337,male,group B,associate's degree,free/reduced,none,44,41,38
338,female,group B,associate's degree,free/reduced,completed,68,77,80
339,male,group D,some college,free/reduced,none,69,66,60
340,male,group B,some high school,free/reduced,none,48,52,45
341,male,group C,some college,standard,none,58,49,42
342,male,group D,bachelor's degree,free/reduced,none,63,66,67
343,female,group C,associate's degree,free/reduced,none,60,75,74
344,female,group D,bachelor's degree,standard,none,78,82,79
345,male,group A,some high school,free/reduced,completed,61,62,61
346,male,group D,some high school,free/reduced,none,62,49,52
347,male,group C,high school,standard,none,62,67,58
348,male,group A,some high school,standard,none,71,62,50
349,male,group B,some high school,standard,none,72,68,67
350,female,group B,bachelor's degree,free/reduced,none,75,85,82
351,female,group D,some high school,standard,none,59,67,61
352,female,group D,associate's degree,standard,none,77,77,73
353,male,group D,associate's degree,standard,none,52,55,49
354,female,group C,some college,standard,completed,71,71,80
355,female,group C,bachelor's degree,standard,completed,52,61,66
356,female,group D,some high school,standard,none,73,84,85
357,female,group D,associate's degree,standard,completed,88,92,95
358,female,group A,associate's degree,standard,completed,55,65,62
359,male,group E,associate's degree,standard,none,87,74,76
360,male,group D,associate's degree,standard,none,61,55,52
361,female,group D,some college,free/reduced,none,77,86,86
362,male,group B,some college,standard,none,58,50,45
363,male,group C,associate's degree,standard,none,92,79,84
364,female,group E,high school,standard,none,99,93,90
365,female,group B,associate's degree,standard,none,73,83,76
366,female,group B,some college,standard,completed,50,64,66
367,female,group C,associate's degree,standard,completed,74,75,83
368,female,group C,high school,standard,none,61,73,63
369,male,group A,some high school,standard,completed,66,68,64
370,male,group E,associate's degree,free/reduced,completed,100,100,93
371,male,group E,some college,standard,none,83,80,73
372,female,group E,some high school,free/reduced,none,72,79,77
373,male,group E,some college,standard,none,53,55,48
374,female,group C,associate's degree,standard,none,46,58,57
375,female,group D,high school,free/reduced,completed,65,61,71
376,female,group E,some college,free/reduced,completed,42,55,54
377,female,group C,associate's degree,standard,completed,83,85,90
378,male,group D,some high school,standard,none,60,59,54
379,male,group D,some college,standard,completed,100,97,99
380,female,group C,high school,free/reduced,completed,67,79,84
381,female,group C,associate's degree,free/reduced,none,54,58,61
382,male,group B,bachelor's degree,standard,none,59,54,51
383,female,group B,high school,standard,none,48,62,60
384,male,group C,high school,standard,none,90,75,69
385,female,group B,associate's degree,standard,none,82,80,77
386,female,group D,high school,standard,none,51,66,62
387,female,group C,high school,free/reduced,none,35,61,54
388,female,group D,associate's degree,free/reduced,completed,75,90,88
389,female,group C,master's degree,standard,completed,81,91,87
390,male,group C,associate's degree,standard,none,85,76,71
391,female,group D,some high school,free/reduced,completed,69,86,81
392,female,group B,bachelor's degree,free/reduced,none,77,85,87
393,male,group C,associate's degree,free/reduced,none,58,55,53
394,male,group B,high school,standard,completed,52,49,46
395,male,group D,some high school,standard,none,62,67,61
396,female,group B,some high school,standard,none,67,89,82
397,female,group E,some college,standard,none,76,78,80
398,male,group D,bachelor's degree,free/reduced,none,68,68,67
399,female,group C,associate's degree,standard,completed,59,73,72
400,female,group B,some high school,free/reduced,none,18,32,28
401,male,group D,some college,standard,completed,65,77,74
402,female,group C,some college,standard,none,71,81,80
403,female,group E,some college,standard,none,62,73,70
404,male,group D,some high school,standard,none,69,66,61
405,male,group D,some college,standard,none,72,57,58
406,female,group E,associate's degree,standard,none,66,65,69
407,male,group C,high school,standard,none,84,77,74
408,female,group E,bachelor's degree,standard,none,37,45,38
409,female,group C,associate's degree,standard,none,85,84,82
410,male,group C,master's degree,free/reduced,completed,62,68,75
411,male,group D,some high school,free/reduced,none,56,54,52
412,male,group B,some college,standard,completed,69,77,77
413,female,group D,some college,standard,none,98,100,99
414,male,group C,high school,standard,none,50,48,42
415,female,group E,master's degree,standard,completed,94,99,100
416,female,group C,associate's degree,standard,none,91,95,94
417,female,group E,some college,standard,completed,66,74,73
418,female,group C,some high school,standard,none,74,75,82
419,male,group B,associate's degree,standard,none,65,54,57
420,male,group E,bachelor's degree,standard,completed,70,64,70
421,male,group B,some college,free/reduced,none,60,60,60
422,female,group A,high school,standard,none,61,68,63
423,male,group E,some high school,standard,none,94,88,78
424,male,group C,high school,standard,none,88,89,86
425,male,group A,some high school,standard,none,64,50,43
426,female,group D,associate's degree,free/reduced,completed,57,74,76
427,male,group C,some high school,standard,completed,78,72,69
428,male,group C,master's degree,free/reduced,completed,72,66,72
429,female,group C,some high school,standard,completed,76,87,85
430,female,group E,some high school,free/reduced,none,74,74,72
431,male,group B,high school,standard,completed,73,71,68
432,female,group D,some college,free/reduced,completed,70,78,78
433,female,group C,high school,standard,none,76,76,74
434,male,group C,some high school,standard,none,57,61,54
435,female,group E,master's degree,free/reduced,none,45,56,54
436,male,group B,some college,standard,none,69,54,55
437,female,group C,some college,standard,none,62,69,69
438,male,group D,associate's degree,free/reduced,none,75,66,73
439,female,group D,some college,standard,completed,75,77,83
440,male,group C,some college,standard,none,59,60,58
441,female,group C,some college,standard,completed,88,95,94
442,female,group D,some high school,free/reduced,none,50,64,59
443,female,group D,some college,standard,none,62,70,72
444,female,group D,bachelor's degree,standard,none,59,70,73
445,male,group C,some college,standard,none,91,74,76
446,male,group C,some college,standard,none,63,63,60
447,male,group C,master's degree,standard,none,71,67,67
448,female,group B,some high school,free/reduced,completed,59,63,64
449,male,group C,some high school,standard,none,64,58,51
450,female,group C,master's degree,standard,completed,69,84,85
451,male,group C,some high school,standard,none,62,64,55
452,male,group C,associate's degree,standard,none,97,93,91
453,female,group E,associate's degree,standard,completed,95,89,92
454,female,group B,bachelor's degree,standard,none,75,84,80
455,female,group A,some college,free/reduced,none,61,60,57
456,female,group D,master's degree,standard,none,53,61,68
457,female,group E,associate's degree,standard,none,68,76,67
458,male,group B,master's degree,free/reduced,none,49,53,52
459,female,group C,bachelor's degree,free/reduced,none,67,75,72
460,female,group B,associate's degree,standard,completed,59,70,66
461,male,group C,some high school,standard,completed,76,80,73
462,female,group D,bachelor's degree,free/reduced,none,62,72,74
463,female,group E,associate's degree,standard,none,84,95,92
464,male,group C,high school,standard,none,62,55,49
465,female,group C,some college,standard,none,72,72,71
466,male,group A,high school,free/reduced,none,53,58,44
467,male,group B,high school,standard,completed,60,44,47
468,female,group D,high school,standard,completed,57,58,64
469,male,group E,high school,free/reduced,completed,57,56,54
470,male,group D,some high school,standard,completed,71,69,68
471,female,group A,high school,standard,none,55,73,73
472,female,group D,associate's degree,free/reduced,none,46,56,57
473,female,group C,some college,standard,none,69,78,76
474,female,group C,some college,standard,none,55,69,65
475,male,group D,high school,standard,none,88,78,75
476,male,group A,bachelor's degree,standard,none,77,67,68
477,female,group D,high school,standard,completed,88,99,100
478,female,group C,associate's degree,standard,none,54,61,58
479,male,group E,high school,standard,completed,81,80,76
480,female,group D,associate's degree,free/reduced,none,43,60,58
481,male,group B,some college,free/reduced,completed,74,77,76
482,male,group D,some high school,standard,completed,78,81,86
483,male,group D,high school,free/reduced,completed,64,64,67
484,female,group E,high school,free/reduced,none,41,45,40
485,female,group D,associate's degree,standard,none,74,81,83
486,female,group C,associate's degree,free/reduced,none,65,77,74
487,female,group A,high school,standard,completed,68,80,76
488,male,group D,master's degree,standard,none,80,80,72
489,male,group B,associate's degree,standard,none,80,76,64
490,male,group D,high school,standard,none,69,75,71
491,male,group A,bachelor's degree,standard,none,91,96,92
492,male,group A,some college,standard,completed,100,96,86
493,female,group C,some college,standard,completed,87,89,94
494,female,group E,associate's degree,standard,none,85,92,85
495,female,group C,some high school,free/reduced,none,44,50,51
496,male,group D,some college,free/reduced,completed,69,60,63
497,male,group E,associate's degree,standard,completed,71,74,68
498,female,group C,bachelor's degree,free/reduced,completed,51,72,79
499,male,group A,some high school,standard,completed,62,67,69
500,male,group C,associate's degree,free/reduced,none,68,65,61
501,male,group D,high school,standard,none,41,52,51
502,male,group D,high school,free/reduced,none,44,51,48
503,male,group C,some high school,free/reduced,none,79,76,65
504,female,group E,associate's degree,standard,completed,93,100,95
505,male,group B,some high school,standard,completed,64,53,57
506,male,group C,associate's degree,free/reduced,none,73,68,66
507,male,group B,some high school,standard,none,88,84,75
508,female,group C,some college,free/reduced,none,62,72,70
509,male,group D,some college,free/reduced,none,62,57,62
510,male,group C,high school,free/reduced,none,61,60,55
511,male,group D,associate's degree,standard,none,90,87,85
512,male,group D,high school,free/reduced,none,75,74,66
513,female,group C,some college,free/reduced,none,77,90,91
514,female,group C,some college,standard,none,82,90,94
515,male,group E,high school,standard,none,80,76,65
516,male,group D,high school,free/reduced,none,63,57,56
517,male,group E,some high school,standard,none,82,67,61
518,female,group E,some college,standard,none,61,64,62
519,male,group A,high school,standard,none,57,43,47
520,female,group D,high school,standard,none,45,63,59
521,male,group E,high school,free/reduced,none,55,56,51
522,female,group B,associate's degree,standard,none,58,63,65
523,male,group B,bachelor's degree,free/reduced,none,73,56,57
524,female,group E,bachelor's degree,standard,none,65,73,75
525,female,group C,some high school,standard,completed,59,54,67
526,female,group C,some college,standard,completed,88,93,93
527,female,group D,associate's degree,standard,none,65,69,70
528,male,group C,associate's degree,standard,none,69,77,69
529,male,group C,high school,standard,none,70,56,51
530,male,group E,associate's degree,standard,none,89,76,74
531,male,group E,high school,standard,none,84,73,69
532,male,group D,associate's degree,free/reduced,completed,61,71,73
533,female,group B,high school,standard,none,74,72,72
534,male,group B,high school,standard,none,57,48,51
535,female,group C,high school,standard,completed,60,64,74
536,male,group C,high school,free/reduced,none,54,72,59
537,female,group A,bachelor's degree,standard,none,51,49,51
538,female,group D,some high school,standard,completed,80,92,88
539,female,group A,some college,free/reduced,none,49,65,55
540,male,group C,bachelor's degree,standard,completed,91,81,79
541,male,group B,high school,standard,none,52,48,49
542,male,group C,master's degree,standard,none,67,57,59
543,female,group C,bachelor's degree,free/reduced,completed,47,62,66
544,male,group B,some high school,standard,completed,61,56,56
545,female,group D,associate's degree,free/reduced,completed,74,88,90
546,female,group E,some college,standard,none,68,70,66
547,male,group C,master's degree,free/reduced,completed,79,77,75
548,female,group D,some college,free/reduced,none,64,74,75
549,male,group B,some college,standard,completed,91,96,91
550,female,group E,bachelor's degree,free/reduced,none,61,58,62
551,female,group C,bachelor's degree,free/reduced,none,43,62,61
552,female,group C,high school,free/reduced,none,53,72,64
553,female,group E,bachelor's degree,standard,none,64,73,70
554,female,group A,high school,free/reduced,completed,53,50,60
555,female,group C,bachelor's degree,standard,none,86,92,87
556,female,group D,high school,standard,none,69,72,77
557,female,group C,some high school,standard,none,77,91,88
558,female,group D,high school,standard,none,78,81,80
559,female,group C,some college,standard,none,54,48,52
560,male,group A,associate's degree,standard,none,54,53,47
561,female,group E,associate's degree,free/reduced,none,73,76,78
562,female,group B,bachelor's degree,standard,none,67,86,83
563,male,group C,associate's degree,free/reduced,none,49,51,51
564,female,group C,master's degree,free/reduced,none,40,58,54
565,male,group D,associate's degree,free/reduced,none,52,57,50
566,female,group D,some college,standard,completed,82,97,96
567,male,group D,some high school,standard,none,81,78,78
568,female,group B,high school,free/reduced,completed,23,44,36
569,male,group E,some high school,standard,none,92,87,78
570,female,group B,some high school,standard,completed,32,51,44
571,female,group E,some college,standard,completed,73,78,76
572,male,group C,associate's degree,standard,none,83,72,78
573,female,group B,high school,standard,none,50,53,55
574,female,group D,master's degree,standard,completed,70,71,74
575,male,group D,associate's degree,standard,completed,67,54,63
576,female,group D,associate's degree,free/reduced,completed,42,61,58
577,male,group D,some college,free/reduced,none,59,62,61
578,female,group B,some college,standard,none,70,75,78
579,male,group B,some college,free/reduced,none,55,55,47
580,male,group D,associate's degree,standard,none,61,48,46
